date_time,source,channel,level,location,user,MID,system,SID,operation,x,y,z,BLW_g,wt_g,TWF,WS_ml,WE_ml,comment
7/9/2020 12:41,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513573,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.83,24.9,0.85,0.43,0.57,NaN
7/10/2020 12:31,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,24.3,0.85,0.53,0.47,NaN
7/10/2020 13:10,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,513573,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.83,23.8,0.85,0.73,0.27,NaN
7/13/2020 12:01,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513271,w10dtsm112721,-999999,Action,NaN,NaN,NaN,28.37,23.1,0.85,1.01,0.51,NaN
7/13/2020 12:05,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,524921,NP-1-Stim,-999999,Action,NaN,NaN,NaN,26.4,22.9,0.85,0.22,0.78,NaN
7/13/2020 15:36,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513573,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.83,22.5,0.85,2.01,0.4,NaN
7/13/2020 16:40,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,23.6,0.85,0.39,0.61,NaN
7/14/2020 16:23,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,23.1,0.85,0.59,0.42,NaN
7/14/2020 16:42,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,524921,NP-1-Stim,-999999,Action,NaN,NaN,NaN,26.4,22,0.85,0.44,0.68,NaN
7/14/2020 18:06,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,513271,w10dtsm112721,-999999,Action,NaN,NaN,NaN,28.37,23.2,0.85,0.91,0.69,NaN
7/14/2020 18:27,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,513573,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.83,23,0.85,1.51,0.51,NaN
7/15/2020 13:31,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,524921,NP-1-Stim,-999999,Action,NaN,NaN,NaN,26.4,21.4,0.85,1.04,0.66,NaN
7/15/2020 15:27,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513573,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.83,23.7,0.85,0.81,0.76,NaN
7/15/2020 19:30,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,23.6,0.85,0.94,0.06,NaN
7/16/2020 11:31,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,524921,NP-1-Stim,-999999,Action,NaN,NaN,NaN,26.4,21.8,0.85,0.64,0.62,NaN
7/16/2020 11:43,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,513271,w10dtsm112721,-999999,Action,NaN,NaN,NaN,28.37,23.9,0.85,0.21,0.9,NaN
7/16/2020 13:00,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513573,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.83,23.8,0.85,0.71,0.72,NaN
7/16/2020 18:44,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,23.2,0.85,0.99,0.01,NaN
7/16/2020 18:51,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,23.2,0.85,0.99,0.01,NaN
7/16/2020 20:11,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),corbettb,505167,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.8,25.1,0.85,0.54,0.46,NaN
7/17/2020 10:57,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,524921,NP-1-Stim,-999999,Action,NaN,NaN,NaN,26.4,21.5,0.85,0.94,0.52,NaN
7/17/2020 11:23,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,513271,w10dtsm112721,-999999,Action,NaN,NaN,NaN,28.37,23.6,0.85,0.51,0.7,NaN
7/17/2020 12:45,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,513573,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.83,23.3,0.85,1.21,0.66,NaN
7/17/2020 18:28,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),corbettb,505167,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.8,24.5,0.85,0.97,0.03,NaN
7/20/2020 14:57,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),corbettb,513573,w10dtsm112721,-999999,Action,NaN,NaN,NaN,28.83,23.3,0.85,1.21,0.92,NaN
7/20/2020 16:40,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,524921,w10dtsm112721,-999999,Action,NaN,NaN,NaN,26.4,21.7,0.85,0.74,0.65,NaN
7/20/2020 23:11,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,505167,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.8,23.8,0.85,0.58,0.42,NaN
7/21/2020 10:31,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,524921,w10dtsm112721,-999999,Action,NaN,NaN,NaN,26.4,22,0.85,0.44,0.76,NaN
7/21/2020 12:32,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,513573,w10dtsm112721,-999999,Action,NaN,NaN,NaN,28.83,23.9,0.85,0.61,1.02,NaN
7/21/2020 18:07,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),corbettb,505167,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.8,23.6,0.85,0.66,0.34,NaN
7/22/2020 10:38,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513271,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.37,23.3,0.85,0.81,0.61,NaN
7/22/2020 11:20,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,524921,w10dtsm112721,-999999,Action,NaN,NaN,NaN,26.4,21.7,0.85,0.74,0.67,NaN
7/22/2020 16:53,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513573,w10dtsm112721,-999999,Action,NaN,NaN,NaN,28.83,23.5,0.85,1.01,0.86,NaN
7/22/2020 19:15,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),corbettb,505167,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.8,23.4,0.85,0.62,0.38,NaN
7/23/2020 11:42,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513271,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.37,23.5,0.85,0.61,0.53,NaN
7/23/2020 11:57,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,524921,w10dtsm112721,-999999,Action,NaN,NaN,NaN,26.4,21.6,0.85,0.84,0.64,NaN
7/23/2020 18:56,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513573,W10DTSM112721,-999999,Action,NaN,NaN,NaN,28.83,23.3,0.85,1.21,0.54,NaN
7/24/2020 10:50,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513271,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.37,23.5,0.85,0.61,0.55,NaN
7/24/2020 12:01,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,524921,W10DTSM112721,-999999,Action,NaN,NaN,NaN,26.4,21.6,0.85,0.84,0.55,NaN
7/27/2020 11:06,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,522944,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28,22.9,0.85,0.9,0.83,NaN
7/27/2020 11:28,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,524924,W10DTSM112721,-999999,Action,NaN,NaN,NaN,24.83,20.1,0.85,1.01,0.67,NaN
7/27/2020 15:17,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,524921,W10DTSM112721,-999999,Action,NaN,NaN,NaN,26.4,21.5,0.85,0.94,0.58,NaN
7/27/2020 15:30,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,513271,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.37,23,0.85,1.11,0.45,NaN
7/28/2020 10:46,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,522944,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28,22.9,0.85,0.9,1.01,NaN
7/28/2020 11:28,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,524924,W10DTSM112721,-999999,Action,NaN,NaN,NaN,24.83,20.4,0.85,0.71,0.69,NaN
7/28/2020 15:43,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,524921,W10DTSM112721,-999999,Action,NaN,NaN,NaN,26.4,21.4,0.85,1.04,0.81,NaN
7/28/2020 17:50,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,513271,NP-1-Stim,-999999,Action,NaN,NaN,NaN,28.37,23.3,0.85,0.81,0.71,NaN
